word,home_row_score,bigram_bonus,frequency_score,movement_cost
tried,5,0,117,11
high,0,0,64,16
child,10,0,72,14
doing,5,0,82,16
year,5,0,86,10
dead,15,0,88,6
death,10,0,121,14
past,10,0,76,15
fact,10,0,67,8
car,5,0,51,4
arms,10,0,69,9
started,15,0,167,17
alone,10,0,117,21
rather,5,0,144,18
son,5,0,62,17
close,10,0,100,19
story,5,0,93,15
four,5,0,55,11
others,5,0,143,16
trying,0,0,98,13
kept,5,0,73,16
read,10,0,93,6
second,10,0,121,25
five,5,0,69,16
times,5,0,112,16
case,10,0,90,3
point,0,0,97,15
making,10,0,81,16
mouth,0,0,83,18
given,0,0,88,22
John,0,0,61,18
ask,15,0,46,5
use,5,0,65,8
Miss,10,0,59,15
rest,5,0,102,7
known,5,0,72,23
de,5,0,51,1
understand,20,0,201,25
smile,10,0,97,16
fire,5,0,84,10
inside,10,0,132,23
happened,10,0,164,24
large,10,0,99,17
less,15,0,88,7
lost,10,0,81,15
opened,5,0,138,15
sound,10,0,83,19
someone,5,0,168,38
friends,15,0,136,16
arm,5,0,50,8
stopped,10,0,131,17
able,10,0,79,11
moved,5,0,84,22
reached,10,0,158,8
smiled,15,0,110,17
window,5,0,91,30
round,5,0,82,16
care,5,0,89,5
near,5,0,101,10
turn,0,0,74,9
lot,5,0,62,7
business,15,0,149,33
idea,10,0,96,10
book,5,0,52,13
floor,10,0,82,11
perhaps,10,0,129,31
remember,0,0,169,14
red,5,0,69,2
getting,0,0,146,16
feeling,10,0,142,17
real,10,0,93,10
town,0,0,77,13
bad,10,0,42,2
True,0,0,64,11
either,0,0,161,17
whom,0,0,55,20
among,5,0,81,18
different,15,0,189,23
passed,20,0,119,14
suddenly,20,0,129,23
country,0,0,110,26
pulled,15,0,89,10
often,5,0,115,13
lay,10,0,43,12
deep,5,0,95,8
above,5,0,93,21
person,5,0,124,28
hope,0,0,85,17
thinking,5,0,136,37
question,5,0,157,29
sense,10,0,134,8
short,5,0,105,16
become,0,0,119,27
became,5,0,121,9
live,5,0,74,13
taking,10,0,101,21
