word,home_row_score,bigram_bonus,frequency_score,movement_cost
the,15,10,84,4
and,10,16,58,12
to,10,0,50,3
of,5,0,29,1
a,5,0,25,0
in,5,0,41,6
was,10,0,51,14
that,20,10,97,10
he,10,0,56,3
not,15,0,70,8
his,10,0,58,12
her,10,0,74,5
it,5,0,48,4
you,10,0,37,11
had,10,0,56,5
with,10,10,73,12
for,5,0,47,2
she,15,0,75,5
as,10,0,44,7
on,10,0,43,5
is,5,0,40,7
at,10,0,52,4
be,5,0,43,3
him,5,0,46,11
have,15,0,84,19
said,10,0,77,7
from,5,0,54,6
but,10,0,40,3
me,5,0,45,4
my,0,0,13,4
were,10,0,101,9
they,15,10,89,12
all,5,0,49,0
by,0,0,10,5
this,15,10,85,13
would,10,0,63,11
do,5,0,35,1
out,15,0,58,3
up,5,0,14,3
one,15,0,81,9
so,10,0,42,6
an,10,16,45,6
could,10,0,64,6
or,5,0,40,1
been,15,0,101,7
them,15,10,91,8
did,0,0,46,0
we,5,0,45,5
are,10,0,81,2
what,15,0,77,11
there,20,10,140,8
about,20,0,87,12
which,10,0,73,12
their,15,10,122,6
into,15,0,91,11
like,5,0,73,4
if,0,0,28,0
who,10,0,48,6
when,15,0,84,9
no,10,0,43,5
can,10,16,53,6
will,0,0,52,7
your,10,0,55,14
back,5,0,40,8
time,10,0,93,14
more,10,0,86,8
know,10,0,52,16
then,20,10,104,8
man,10,16,52,12
down,10,0,63,8
over,10,0,82,15
now,10,0,50,11
some,15,0,87,15
just,15,0,55,10
see,15,0,95,5
only,10,0,61,21
than,20,26,90,12
other,20,10,124,9
way,5,0,38,17
has,15,0,62,12
before,15,0,128,9
two,10,0,57,9
little,15,0,138,10
get,10,0,71,4
very,5,0,65,18
any,10,16,51,10
go,5,0,29,1
made,10,0,83,8
too,15,0,72,3
here,15,0,112,7
never,15,0,117,18
eyes,15,0,101,21
think,15,10,89,17
thought,30,10,128,16
again,15,0,96,6
through,25,10,119,17
even,15,0,99,16
much,10,0,42,11
good,10,0,64,2
off,5,0,36,1
us,10,0,27,4
first,10,0,92,10
our,10,0,49,5
how,10,0,48,10
where,15,0,120,9
after,15,0,114,8
looked,15,0,110,6
come,10,0,76,10
its,10,0,67,7
came,10,0,78,10
right,10,0,90,6
away,10,0,62,24
long,10,0,61,12
old,5,0,47,1
going,10,0,76,14
still,10,0,91,7
day,5,0,43,10
got,10,0,56,4
say,10,0,49,17
hand,15,16,76,17
