word,home_row_score,bigram_bonus,frequency_score,movement_cost
went,15,0,93,11
head,15,0,94,5
should,20,0,93,11
face,10,0,78,2
own,10,0,50,7
make,10,0,72,10
s,5,0,19,0
well,5,0,69,7
asked,15,0,97,16
life,5,0,78,2
must,15,0,62,10
himself,15,0,122,21
people,15,0,122,6
want,15,16,79,15
around,20,0,106,12
might,10,0,80,12
something,30,10,180,35
room,10,0,70,6
take,15,0,92,8
knew,10,0,68,14
took,15,0,75,5
such,15,0,54,12
told,10,0,75,4
men,10,0,66,8
door,10,0,76,2
left,10,0,84,8
being,10,0,90,17
last,15,0,83,10
because,25,0,141,17
look,10,0,59,3
night,15,0,93,12
those,25,10,125,16
these,25,10,141,14
house,25,0,106,15
tell,10,0,89,4
saw,10,0,51,14
another,30,26,169,20
while,10,0,96,9
most,15,0,76,14
turned,20,0,125,16
put,10,0,41,4
felt,10,0,84,8
woman,15,16,82,23
great,15,0,114,8
place,10,0,89,2
upon,15,0,57,9
Mr.,0,0,18,0
years,15,0,105,17
without,25,10,131,19
found,15,0,70,12
always,15,0,93,27
am,5,0,32,6
nothing,25,10,135,26
though,25,10,101,15
against,25,0,142,10
same,15,0,89,17
father,20,10,133,10
home,15,0,86,13
many,10,16,58,16
work,5,0,50,10
let,10,0,77,4
seemed,20,0,153,15
things,20,10,112,25
few,5,0,52,7
mother,20,10,131,14
thing,15,10,93,18
ever,10,0,97,14
may,5,0,38,16
love,10,0,76,14
every,10,0,103,24
voice,10,0,93,10
three,20,10,140,8
hands,20,16,95,24
once,15,0,89,13
mind,5,0,61,18
enough,25,0,113,19
under,15,0,97,13
heard,15,0,112,5
young,15,0,63,20
moment,20,0,123,20
new,10,0,65,9
find,5,0,61,12
also,15,0,78,13
between,25,0,173,17
side,10,0,91,9
does,15,0,92,7
each,15,0,89,7
world,5,0,72,7
wanted,20,16,130,19
anything,25,26,143,34
both,15,10,72,8
until,15,0,89,9
really,10,0,111,14
called,10,0,108,4
give,5,0,68,14
herself,20,0,150,19
better,20,0,153,9
looking,15,0,107,18
sure,15,0,83,9
began,15,16,93,11
Yes,10,0,57,7
behind,15,0,115,23
next,15,0,86,8
course,20,0,114,18
yet,10,0,71,10
far,5,0,49,0
seen,20,0,115,9
stood,20,0,104,7
name,15,0,90,16
small,10,0,75,9
gave,10,0,72,14
done,15,0,94,10
almost,20,0,113,20
need,15,0,109,6
why,5,0,31,7
Oh,5,0,18,5
God,5,0,35,2
light,10,0,85,6
end,10,0,71,10
morning,15,0,115,30
sat,15,0,71,11
heart,20,0,126,9
days,10,0,62,13
white,15,0,112,13
water,15,0,115,15
girl,0,0,57,0
part,10,0,75,4
help,10,0,74,5
half,10,0,62,5
words,10,0,79,14
feel,10,0,95,4
since,15,0,107,21
set,15,0,84,7
open,15,0,87,7
across,20,0,111,7
body,5,0,46,15
together,30,10,195,14
gone,15,0,87,10
keep,10,0,84,3
along,15,0,85,12
Mrs.,5,0,37,14
kind,5,0,56,15
bed,5,0,55,5
front,15,0,95,8
black,5,0,52,8
quite,15,0,95,13
hair,10,0,82,5
hard,10,0,74,5
myself,10,0,89,14
shall,15,0,86,7
already,15,0,136,14
mean,15,16,90,12
used,15,0,78,11
soon,20,0,84,11
family,5,0,77,22
feet,15,0,110,4
wife,5,0,73,9
toward,15,0,112,16
having,15,0,93,33
whole,15,0,98,9
hear,15,0,99,5
women,15,0,95,19
else,15,0,107,14
call,5,0,57,0
table,15,0,106,16
dark,5,0,58,3
best,15,0,89,11
money,15,0,94,22
held,10,0,81,5
talk,10,0,66,7
believe,15,0,155,19
boy,5,0,33,13
says,15,0,68,20
leave,15,0,116,18
brought,20,0,105,17
big,0,0,31,5
children,15,0,149,16
friend,10,0,117,12
later,15,0,120,8
walked,10,0,97,13
least,20,0,121,14
air,5,0,63,0
everything,25,10,196,48
taken,20,0,112,12
word,5,0,60,7
coming,10,0,85,24
full,5,0,39,6
matter,20,0,142,14
tried,10,0,117,8
high,10,0,64,10
child,5,0,72,10
doing,10,0,82,14
year,10,0,86,10
dead,10,0,88,4
death,20,10,121,9
past,15,0,76,10
fact,10,0,67,4
car,5,0,51,0
arms,10,0,69,9
started,25,0,167,15
alone,20,0,117,10
rather,20,10,144,10
son,15,0,62,11
close,15,0,100,12
story,15,0,93,17
four,10,0,55,6
others,25,10,143,16
trying,10,0,98,36
kept,10,0,73,7
read,10,0,93,4
second,20,0,121,19
five,5,0,69,14
times,15,0,112,19
case,15,0,90,12
point,15,0,97,10
making,10,0,81,24
mouth,20,10,83,9
given,10,0,88,18
John,15,0,61,6
ask,10,0,46,13
use,15,0,65,9
Miss,10,0,59,7
rest,15,0,102,10
known,15,0,72,17
de,5,0,51,2
understand,35,16,201,39
smile,10,0,97,11
fire,5,0,84,2
inside,15,0,132,16
happened,25,0,164,17
large,10,0,99,2
less,15,0,88,7
lost,15,0,81,10
opened,20,0,138,13
sound,20,0,83,17
someone,30,0,168,25
friends,15,0,136,19
arm,5,0,50,6
stopped,20,0,131,11
able,10,0,79,12
moved,10,0,84,20
reached,20,0,158,14
smiled,10,0,110,13
window,10,0,91,26
round,15,0,82,12
care,10,0,89,2
near,15,0,101,6
turn,15,0,74,10
lot,10,0,62,4
business,30,0,149,28
idea,10,0,96,4
book,10,0,52,6
floor,10,0,82,2
perhaps,20,0,129,21
remember,15,0,169,20
red,5,0,69,4
getting,20,0,146,20
feeling,15,0,142,16
real,10,0,93,4
town,15,0,77,10
bad,5,0,42,5
True,10,0,64,4
either,20,10,161,12
whom,10,0,55,11
among,15,0,81,22
different,20,0,189,12
passed,20,0,119,14
suddenly,20,0,129,29
country,20,0,110,22
pulled,10,0,89,10
often,20,0,115,11
lay,5,0,43,10
deep,10,0,95,4
above,15,0,93,22
person,20,0,124,22
hope,15,0,85,7
thinking,20,10,136,32
question,30,0,157,23
sense,25,0,134,15
short,20,0,105,11
become,15,0,119,15
became,15,0,121,15
live,5,0,74,14
taking,15,0,101,22
husband,25,16,108,27
ground,15,0,88,12
brother,20,10,146,15
cold,5,0,56,2
replied,10,0,146,8
reason,25,0,142,22
hour,15,0,67,9
school,20,0,103,17
ran,10,16,63,6
several,20,0,153,19
fell,5,0,69,4
whose,20,0,105,17
saying,15,0,97,39
certain,20,0,157,18
probably,10,0,98,30
evening,20,0,147,34
ago,10,0,53,1
answer,20,16,127,16
show,15,0,67,12
run,10,0,46,6
speak,15,0,90,14
within,15,10,115,23
themselves,35,10,220,37
met,10,0,73,6
minutes,25,0,141,23
ready,10,0,99,14
however,20,0,145,29
returned,25,0,181,20
poor,10,0,69,2
living,5,0,83,28
spoke,15,0,88,11
longer,15,0,117,16
office,10,0,103,3
during,10,0,86,18
blue,10,0,63,9
bit,5,0,53,9
outside,25,0,149,15
order,10,0,109,5
followed,15,0,134,16
late,15,0,102,6
shook,20,0,85,8
talking,15,0,113,22
forward,10,0,110,16
waiting,15,0,127,27
sent,20,0,105,11
line,10,0,91,10
chair,10,0,90,10
power,10,0,91,14
answered,25,16,178,20
stop,15,0,74,7
stay,15,0,77,17
nodded,15,0,119,10
quickly,5,0,58,23
road,10,0,78,2
blood,10,0,74,7
hundred,20,0,128,15
hours,20,0,86,16
wrong,10,0,74,19
lips,5,0,58,7
continued,30,0,179,24
sort,15,0,87,11
Lord,5,0,53,2
try,5,0,51,14
daughter,25,0,153,16
city,5,0,62,10
fine,10,0,86,10
watched,20,0,136,25
dear,10,0,93,4
standing,25,16,151,31
caught,20,0,93,12
beautiful,25,0,151,19
top,10,0,56,4
slowly,10,0,79,31
sir,5,0,58,7
clear,10,0,101,4
possible,20,0,142,26
early,10,0,99,12
wall,5,0,56,7
ten,15,0,86,6
eye,10,0,82,16
bring,5,0,70,17
laughed,20,0,120,16
sitting,20,0,141,27
happy,10,0,60,15
hold,10,0,66,5
twenty,20,0,126,20
whether,25,10,165,13
cut,10,0,44,4
itself,15,0,124,14
pretty,15,0,122,10
nor,10,0,61,6
closed,15,0,113,14
anyone,25,16,132,28
sun,15,0,48,7
present,25,0,166,18
sleep,15,0,113,11
change,20,16,116,24
human,20,16,79,17
cried,5,0,98,4
return,20,0,130,14
war,5,0,50,7
truth,20,10,99,9
lady,5,0,55,10
street,25,0,168,11
breath,20,10,130,14
Maybe,10,0,73,18
six,5,0,40,11
finally,10,0,102,22
fear,10,0,87,4
move,10,0,71,18
appeared,20,0,168,8
needed,20,0,160,10
letter,20,0,161,8
number,15,0,96,12
wish,10,0,65,16
free,10,0,101,2
week,10,0,86,6
yourself,20,0,131,28
towards,20,0,131,23
glass,15,0,81,7
horse,20,0,116,17
play,5,0,48,10
decided,10,0,144,8
meet,15,0,111,6
sister,20,0,142,21
beside,15,0,133,17
seem,15,0,102,9
died,5,0,85,4
land,10,16,70,12
strong,20,0,113,19
walk,5,0,46,10
stand,20,16,104,19
means,20,16,109,13
fingers,15,0,129,23
silence,20,0,157,21
York,5,0,43,5
added,10,0,101,4
English,15,0,97,21
rose,15,0,98,12
London,20,0,98,18
police,10,0,108,4
afraid,10,0,107,0
low,5,0,42,7
meant,20,16,117,14
sea,15,0,82,7
job,5,0,27,5
attention,40,0,228,22
married,10,0,139,10
sight,15,0,91,13
chance,20,16,118,24
shoulder,25,0,149,15
paper,10,0,92,4
lived,5,0,87,16
till,5,0,72,4
sorry,10,0,83,17
strange,25,16,153,21
American,15,16,137,18
seems,20,0,121,12
loved,10,0,88,16
wait,10,0,80,11
kitchen,20,0,135,23
indeed,15,0,143,16
d,0,0,13,0
green,15,0,120,6
sometimes,30,0,199,36
form,5,0,54,8
important,25,16,174,30
law,5,0,44,7
in.,5,0,41,12
watch,15,0,85,20
doubt,15,0,75,6
knows,15,0,71,18
King,5,0,47,12
state,25,0,136,13
phone,20,0,105,18
beyond,15,0,104,31
months,25,10,114,15
start,20,0,116,11
filled,5,0,103,4
working,10,0,97,25
running,20,0,114,24
wind,5,0,61,19
stared,20,0,140,11
trouble,20,0,131,16
Mary,5,0,48,10
die,5,0,72,2
self,10,0,76,7
except,15,0,118,14
earth,20,10,126,7
led,5,0,63,4
hot,15,0,68,7
age,10,0,69,2
girls,5,0,76,7
corner,15,0,125,14
dinner,15,0,130,12
heavy,15,0,90,15
trees,20,0,140,11
comes,15,0,95,15
raised,15,0,133,14
Jack,5,0,35,3
foot,15,0,79,4
couple,15,0,95,8
straight,25,0,161,13
afternoon,35,0,200,24
boys,10,0,52,16
food,10,0,64,2
baby,5,0,39,15
suppose,25,0,118,19
shot,20,0,87,9
pain,10,0,71,6
party,10,0,81,10
quiet,15,0,95,11
leaving,15,0,125,32
nature,25,0,136,16
legs,10,0,75,11
watching,20,0,133,37
neck,10,0,69,9
carried,10,0,141,4
everyone,25,0,184,42
sit,10,0,67,11
interest,30,0,209,22
figure,10,0,98,8
deal,10,0,87,4
company,15,16,95,22
killed,5,0,98,7
easy,15,0,88,12
thousand,35,26,153,30
minute,20,0,122,18
onto,20,0,92,10
nearly,15,0,119,16
worked,10,0,101,13
clothes,25,10,146,13
pay,5,0,36,10
mine,10,0,86,16
simply,5,0,71,29
makes,15,0,91,15
fall,5,0,55,0
holding,15,0,113,17
tears,20,0,127,11
George,15,0,123,6
certainly,20,0,175,34
books,15,0,71,12
arrived,10,0,135,16
picked,5,0,88,6
today,15,0,93,14
hell,10,0,81,5
tree,15,0,121,6
further,20,10,134,16
looks,15,0,78,9
position,25,0,159,28
waited,15,0,131,15
guess,20,0,90,9
thoughts,35,10,147,19
view,5,0,69,15
although,30,10,137,19
sky,5,0,27,13
following,15,0,130,28
Dr.,0,0,18,0
river,5,0,98,16
nice,10,0,88,8
seeing,20,0,142,19
soul,15,0,62,11
drink,5,0,74,11
shoulders,30,0,168,22
beginning,20,0,157,29
wondered,20,0,170,25
touch,20,0,85,13
wide,5,0,79,9
doctor,15,0,111,10
exactly,15,0,117,24
middle,5,0,104,8
seat,20,0,109,11
Tom,5,0,30,6
public,5,0,60,10
ship,10,0,64,7
warm,5,0,57,13
entered,25,0,192,14
instead,25,0,163,14
remembered,20,0,220,24
changed,20,16,128,26
realized,15,0,165,22
church,15,0,79,15
whatever,25,0,174,27
news,15,0,84,11
gold,5,0,53,2
please,20,0,138,16
immediately,20,0,215,30
finished,20,0,157,26
glad,5,0,55,0
building,10,0,106,17
hurt,15,0,72,9
soft,15,0,75,11
expression,30,0,202,26
dropped,10,0,116,6
actually,20,0,123,18
spent,20,0,110,15
stepped,20,0,147,11
telling,15,0,137,16
No.,5,0,23,2
skin,10,0,62,15
dog,5,0,41,2
moving,10,0,80,32
kill,0,0,47,3
general,20,0,157,12
noticed,20,0,150,16
parents,25,0,153,11
single,15,0,116,21
drew,5,0,76,7
manner,20,16,128,18
silent,20,0,138,15
coffee,15,0,120,4
giving,5,0,77,28
step,15,0,90,7
subject,20,0,106,17
piece,10,0,111,6
eat,15,0,90,6
conversation,40,0,244,44
liked,5,0,86,6
whispered,20,0,178,29
written,20,0,159,17
covered,15,0,141,20
wonder,15,0,119,21
French,15,0,103,17
beneath,30,10,171,18
empty,10,0,84,20
hit,10,0,66,9
fast,15,0,77,10
none,20,0,101,14
force,10,0,94,4
glanced,15,16,122,16
remained,20,0,180,24
lives,10,0,93,19
weeks,15,0,105,12
hardly,10,0,92,15
desk,10,0,72,13
distance,25,16,171,28
stone,25,0,127,15
James,15,0,89,15
chest,20,0,111,16
broken,15,0,106,13
steps,20,0,109,14
dress,15,0,107,7
showed,20,0,118,19
especially,20,0,185,26
expected,20,0,169,18
pleasure,25,0,164,20
edge,10,0,95,4
group,10,0,61,6
future,20,0,106,10
bright,10,0,95,11
placed,10,0,102,4
below,10,0,84,12
turning,20,0,121,28
fellow,10,0,99,11
meeting,20,0,158,22
visit,10,0,91,26
broke,10,0,85,9
grew,5,0,69,7
learned,20,0,164,16
control,20,0,131,14
hall,10,0,67,5
picture,15,0,127,10
problem,10,0,108,16
talked,15,0,117,10
England,15,16,96,24
history,20,0,132,29
ahead,20,0,118,10
happen,20,0,113,11
supposed,25,0,131,21
questions,35,0,176,24
tone,20,0,108,12
leaned,20,16,146,16
David,5,0,61,16
walking,10,0,93,25
surprised,20,0,160,21
write,10,0,111,13
cause,20,0,98,12
pushed,20,0,102,14
music,10,0,64,14
received,15,0,177,24
information,30,0,211,40
secret,20,0,149,11
marriage,15,0,157,8
Henry,10,0,82,22
Mr,0,0,18,0
fight,10,0,79,6
Captain,20,0,123,14
sign,10,0,66,13
laugh,15,0,69,11
box,5,0,27,7
third,10,10,97,6
act,10,0,60,4
neither,25,10,181,16
lifted,10,0,118,8
wrote,15,0,113,13
break,10,0,87,12
hung,15,0,53,11
thirty,15,10,117,16
born,10,0,65,11
laid,5,0,70,0
summer,15,0,98,13
boat,15,0,79,9
reading,15,0,141,16
surprise,20,0,147,19
thus,20,10,73,7
experience,25,0,226,24
writing,10,0,120,27
game,10,0,76,10
pass,15,0,68,7
note,20,0,108,10
goes,15,0,86,7
miles,10,0,97,13
throat,25,10,138,12
send,15,0,90,15
wild,0,0,53,7
usual,20,0,72,11
m,0,0,7,0
nose,20,0,100,16
shut,20,0,73,5
direction,20,0,189,18
pointed,20,0,148,14
horses,25,0,135,22
walls,10,0,75,14
tall,10,0,76,4
Paul,10,0,45,6
knowing,15,0,99,35
quick,5,0,40,10
sweet,20,0,129,9
guy,5,0,20,10
common,15,0,88,16
character,25,0,185,18
space,15,0,96,9
re,5,0,56,2
gun,10,0,35,6
ought,20,0,82,11
follow,10,0,83,9
seven,20,0,118,21
spirit,10,0,112,11
stories,25,0,165,14
forget,15,0,119,6
strength,30,10,174,24
safe,15,0,88,9
master,20,0,134,20
drive,5,0,93,14
situation,35,0,191,29
tired,10,0,117,8
ones,20,0,100,14
simple,10,0,103,21
village,10,0,117,10
lying,5,0,65,32
dream,10,0,101,10
brown,10,0,72,13
presence,25,0,186,24
desire,15,0,147,16
Peter,15,0,121,8
wants,20,16,98,18
sudden,20,0,111,13
agreed,15,0,137,4
offered,15,0,143,9
eight,15,0,111,8
threw,15,10,109,13
necessary,30,0,191,30
darkness,25,0,154,17
scene,20,0,124,17
knowledge,20,0,159,29
difficult,10,0,124,10
account,25,0,119,8
William,5,0,98,6
service,15,0,145,25
struck,15,0,83,16
lie,5,0,71,2
touched,25,0,135,18
allowed,15,0,129,14
crowd,5,0,69,14
fair,5,0,70,0
paid,5,0,64,0
pocket,15,0,104,8
art,10,0,70,4
thick,10,10,77,9
Sam,5,0,32,6
serious,25,0,146,14
bear,10,0,85,5
perfect,15,0,142,12
special,15,0,129,11
class,15,0,83,7
shirt,15,0,103,11
teeth,25,10,149,5
save,15,0,85,21
memory,10,0,99,24
worse,15,0,105,19
dressed,20,0,158,14
alive,10,0,99,14
quietly,15,0,113,25
field,5,0,91,4
gaze,10,0,69,16
garden,15,0,120,6
St.,5,0,27,8
places,15,0,108,7
carefully,15,0,134,20
thin,15,10,87,12
cry,0,0,32,10
aware,15,0,112,16
Ah,5,0,18,5
completely,20,0,177,30
pale,10,0,80,2
plan,10,16,63,6
personal,25,0,160,28
rain,10,0,84,6
Yeah,15,0,81,9
p,0,0,6,0
hat,15,0,70,9
considered,25,0,211,22
reach,15,0,107,9
believed,15,0,167,21
drove,10,0,94,14
tea,15,0,90,4
rich,5,0,65,5
somewhere,30,0,206,29
natural,25,0,135,14
stairs,20,0,129,14
forth,15,10,93,7
easily,15,0,121,26
anyway,15,16,88,30
particular,20,0,168,14
wore,10,0,86,9
speaking,20,0,137,29
angry,10,16,75,22
area,15,0,105,4
private,15,0,137,22
explained,20,0,173,18
Charles,20,0,130,17
ways,10,0,56,20
letters,25,0,180,15
bag,5,0,35,5
worth,15,10,93,12
playing,10,0,96,32
fresh,15,0,100,9
understood,35,0,201,27
tonight,25,0,142,20
paused,20,0,108,14
beauty,20,0,108,15
train,15,0,111,10
learn,15,0,113,10
wearing,15,0,135,19
therefore,30,10,225,14
closer,15,0,118,14
windows,15,0,110,28
court,15,0,84,10
effect,15,0,125,10
sick,5,0,51,10
social,15,0,107,7
expect,15,0,118,14
ears,15,0,100,9
tomorrow,20,0,145,21
huge,15,0,71,7
wine,10,0,86,17
worry,5,0,71,17
catch,15,0,87,13
Joe,10,0,61,2
ill,0,0,45,0
trust,20,0,100,14
smiling,10,0,106,21
slightly,15,0,122,27
older,10,0,103,5
forced,10,0,106,6
CHAPTER,0,0,0,0
staring,20,0,136,19
length,20,10,122,17
clean,15,16,103,10
usually,20,0,90,21
purpose,20,0,117,18
wished,15,0,116,21
impossible,20,0,170,38
begin,10,0,90,11
terrible,15,0,177,16
path,15,10,76,5
peace,15,0,115,6
likely,5,0,91,16
notice,20,0,137,14
finger,10,0,110,16
action,20,0,124,14
knees,20,0,118,14
carry,5,0,75,10
played,10,0,99,20
imagine,15,0,138,22
Thank,15,16,65,21
earlier,15,0,170,6
coat,15,0,83,6
gray,5,0,54,10
wood,10,0,65,7
language,25,16,140,20
shouted,30,0,146,13
ear,10,0,81,2
month,20,10,95,13
officer,10,0,121,5
asking,15,0,93,28
system,20,0,116,15
entire,20,0,163,12
lines,15,0,110,15
merely,10,0,119,20
kiss,10,0,61,10
i,0,0,21,0
snow,15,0,69,12
offer,10,0,92,5
bar,5,0,47,5
yellow,10,0,98,17
main,10,0,73,12
Robert,15,0,110,14
novel,15,0,96,20
managed,20,16,133,22
takes,20,0,111,13
study,15,0,73,17
listen,20,0,138,16
marry,5,0,74,16
spot,15,0,74,11
doors,15,0,95,9
station,30,0,162,21
kissed,15,0,112,17
smoke,15,0,89,11
faces,15,0,97,7
built,10,0,73,9
handed,20,16,127,21
Michael,15,0,122,14
stuff,15,0,68,7
dry,0,0,37,10
glance,15,16,109,14
thou,20,10,76,7
duty,10,0,54,10
apartment,30,0,193,16
ring,5,0,65,12
feelings,20,0,161,23
buy,5,0,19,9
century,20,0,126,22
escape,20,0,134,14
Richard,10,0,103,10
silver,10,0,111,23
pressed,20,0,151,14
lead,10,0,87,4
pleased,20,0,150,18
bottom,20,0,111,15
slow,10,0,61,14
settled,25,0,174,15
promise,15,0,132,24
tongue,25,0,122,18
ll,0,0,24,0
ye,5,0,44,8
wonderful,20,0,146,27
explain,15,0,122,12
forgotten,30,0,188,12
gentleman,30,16,194,30
hers,15,0,93,12
gently,15,0,110,22
softly,15,0,93,25
leaves,20,0,135,23
society,20,0,142,17
crossed,20,0,138,14
sharp,15,0,86,7
bedroom,15,0,126,11
sighed,15,0,115,17
helped,15,0,125,9
spread,15,0,118,11
laughing,20,0,116,28
Thomas,20,0,92,27
hotel,20,0,118,11
names,20,0,109,21
tiny,10,0,74,14
clearly,10,0,119,14
America,10,0,117,12
rolled,10,0,116,6
anger,15,16,107,16
aside,15,0,115,16
lights,15,0,104,9
familiar,10,0,135,12
battle,20,0,134,15
discovered,20,0,193,34
ordered,15,0,160,9
evidence,20,0,179,28
lose,15,0,92,12
smell,10,0,88,9
rock,5,0,51,5
ride,5,0,90,2
listened,25,0,188,22
flat,10,0,70,4
sounded,25,0,134,21
busy,10,0,38,9
Harry,5,0,66,10
headed,20,0,144,9
Paris,10,0,82,7
hoped,15,0,97,9
government,30,0,201,34
kids,5,0,55,10
houses,30,0,125,20
grass,15,0,87,7
fifty,5,0,67,10
interested,35,0,260,26
heat,20,0,108,9
pair,5,0,69,0
bent,15,0,90,9
drawn,10,0,83,8
pick,0,0,37,3
heads,20,0,113,12
repeated,25,0,202,16
calling,10,0,104,12
various,20,0,116,15
cross,15,0,87,7
stayed,20,0,127,27
spring,10,0,90,19
bank,10,16,52,16
effort,15,0,119,8
army,5,0,56,10
cover,10,0,90,16
suggested,30,0,175,21
complete,20,0,159,18
winter,15,0,131,19
keeping,15,0,132,15
slipped,10,0,114,11
sounds,25,0,102,24
Frank,10,16,65,11
check,10,0,75,13
cool,10,0,65,2
hospital,25,0,150,25
evil,5,0,74,14
somehow,25,0,135,28
appear,15,0,117,4
o,5,0,23,0
bought,20,0,87,15
loud,10,0,56,6
prepared,15,0,161,8
shop,15,0,66,7
charge,15,0,113,12
putting,20,0,116,20
growing,10,0,101,26
example,15,0,126,20
chief,10,0,92,14
cup,5,0,22,6
gets,15,0,90,7
exclaimed,15,0,162,18
works,10,0,69,16
respect,20,0,154,22
fit,5,0,55,4
danger,15,16,120,16
asleep,20,0,138,18
opening,20,0,134,25
fallen,15,0,114,6
entirely,20,0,181,24
suit,15,0,75,11
share,20,0,118,9
flowers,15,0,123,21
bottle,20,0,132,13
appearance,30,16,208,18
l,0,0,12,0
store,20,0,125,9
choice,15,0,116,12
beat,15,0,94,9
enemy,15,0,110,16
wet,10,0,72,7
camp,5,0,46,12
guard,10,0,70,6
narrow,15,0,110,13
moments,25,0,142,23
grown,10,0,74,8
papers,15,0,111,11
sex,10,0,58,7
promised,15,0,144,26
final,10,0,84,12
breakfast,25,0,165,25
needs,20,0,128,13
listening,25,0,185,34
streets,30,0,187,14
board,10,0,82,5
local,10,0,80,2
named,15,0,103,18
unless,25,0,117,16
pull,5,0,38,6
passing,20,0,116,26
movement,25,0,164,32
dance,15,16,104,14
opinion,20,0,133,19
level,10,0,103,16
shrugged,20,0,126,17
political,15,0,154,10
joy,5,0,29,10
em,5,0,45,4
meaning,20,16,137,30
noise,20,0,121,18
north,20,10,106,11
calm,5,0,52,6
ancient,25,16,160,20
attack,20,0,114,11
British,15,0,124,17
nine,15,0,100,16
ladies,15,0,127,7
message,25,0,152,18
murder,10,0,102,10
perfectly,15,0,160,26
yours,15,0,74,21
youth,20,10,82,13
stage,20,0,115,9
fish,10,0,65,9
cast,15,0,79,10
gate,15,0,96,6
support,20,0,107,13
soldiers,20,0,162,18
attempt,25,0,157,20
instant,30,16,159,22
period,10,0,118,6
weight,15,0,118,13
mentioned,30,0,207,26
concerned,25,0,187,28
remain,15,0,129,18
sake,15,0,84,11
carrying,10,0,122,32
ice,5,0,67,2
Jim,0,0,28,6
University,20,0,173,52
Elizabeth,20,10,146,29
Indian,15,16,99,18
hill,5,0,63,5
fool,10,0,64,2
Ben,10,0,58,6
grabbed,10,0,108,10
la,5,0,37,0
okay,10,0,55,15
opposite,25,0,162,21
lower,10,0,98,14
report,15,0,130,10
disappeared,25,0,220,22
nobody,15,0,88,24
difference,20,0,208,18
Sunday,15,0,72,22
directly,10,0,143,22
tight,15,0,100,10
States,25,0,136,19
Uncle,10,0,79,14
Mrs,5,0,37,7
drawing,10,0,110,26
author,25,10,119,10
German,15,16,108,22
hate,20,0,108,11
sad,10,0,56,7
moon,15,0,73,10
members,15,0,132,21
shoes,25,0,117,12
allow,10,0,78,7
object,15,0,101,15
mad,5,0,44,6
events,25,0,146,21
cheek,15,0,105,9
falling,10,0,103,12
particularly,20,0,186,24
journey,20,0,113,24
former,10,0,110,14
somewhat,30,0,164,31
bound,15,0,68,15
somebody,20,0,133,33
plain,10,0,84,6
search,20,0,126,12
Jane,15,16,83,10
animal,15,16,110,24
reply,5,0,80,14
stomach,25,0,127,22
interesting,35,0,256,38
Christmas,25,0,154,35
involved,15,0,133,32
lovely,10,0,94,26
flesh,15,0,94,9
determined,25,0,233,32
joined,15,0,115,14
forty,10,0,80,12
drop,5,0,59,2
key,5,0,46,9
leg,5,0,56,4
using,15,0,74,23
lunch,15,0,67,17
spoken,20,0,108,15
apart,15,0,100,4
trip,5,0,72,4
officers,15,0,140,12
opportunity,30,0,184,27
